A+,1741458635
A+,1741458636
A+,1741458637
A+,1741458638
A+,1741458639
B-,1741458651
B-,1741458652
B-,1741458653
B-,1741458654
AB+,1741462845
AB+,1741462846
AB+,1741462847
O-,1741512891
O-,1741512892
O-,1741512893
B+,1741512940
B+,1741512941
A+,1741543289
A+,1741543290
A+,1741543291
A+,1741543292
A+,1741543293
A+,1741543294
A-,1741544789
A-,1741544790
A-,1741544791
A-,1741544792
A-,1741544793
O+,1741544821
O+,1741544822
O+,1741544823
O+,1741544824
O+,1741544825
O+,1741544826
O+,1741544827
O+,1741544828
O+,1741544829
O+,1742020128
O+,1742020129
O+,1742020386
O+,1742020387
O+,1742020388
A+,1742020441
A+,1742020442
O+,1742020608
O+,1742020609
O+,1742021206
O+,1742021207
O+,1742021447
O+,1742021448
O+,1742021449
O+,1742021890
O+,1742021891
O+,1742022489
O+,1742022490
O+,1742022491
O+,1742022679
O+,1742022680
O+,1742023810
O+,1742023811
O+,1742024141
O+,1742024142
O+,1742025076
O+,1742025077
O+,1742025524
O+,1742025525
O+,1742025771
O+,1742025772
O+,1742025773
O+,1742025859
O+,1742025860
O+,1742025861
O+,1742026240
O+,1742026241
O+,1742027734
O+,1742027735
O+,1742028032
O+,1742028033
O+,1742028079
O+,1742028080
O+,1742028081
O+,1742028173
O+,1742028174
O+,1742028175
O+,1742028415
O+,1742028416
O+,1742028645
O+,1742028646
O+,1742028647
O+,1742028914
O+,1742028915
O+,1742028916
O+,1742029107
O+,1742029108
O+,1742029265
O+,1742029266
O+,1742029383
O+,1742029384
A-,1742029463
O+,1742029559
O+,1742029891
O+,1742029892
O+,1742030040
AB+,1742030186
O+,1742030454
O+,1742030687
AB-,1742030977
AB+,1742031094
AB+,1742031095
AB+,1742031096
B+,1742031318
B+,1742031319
AB-,1742047760
AB-,1742047761
A+,1742047931
O+,1742048080
O+,1742048081
O+,1742048082
O+,1742048736
O+,1742048737
A+,1742048865
A+,1742048866
O+,1742048899
O+,1742048900
O+,1742049276
O+,1742049277
O+,1742049278
AB-,1742049552
AB-,1742049553
O+,1742050362
O+,1742050363
O+,1742050954
O+,1742050955
AB-,1742053594
AB-,1742053595
AB-,1742054487
AB-,1742054488
AB-,1742054669
AB-,1742054670
B+,1742055682
B+,1742055683
O+,1742055743
O+,1742055744
A-,1742055813
A-,1742055814
B+,1742055840
B+,1742055841
B+,1742055842
B+,1742055886
B+,1742055887
B+,1742055888
AB+,1742055908
AB+,1742055909
AB+,1742055910
AB+,1742056372
AB+,1742056373
AB+,1742056459
AB+,1742056460
B+,1742061179
B+,1742061180
B+,1742061318
B+,1742061319
B+,1742061515
B+,1742061516
B+,1742061774
B+,1742061775
O+,1742061855
O+,1742061856
O+,1742061857
O+,1742061900
O+,1742061901
AB-,1742062625
AB-,1742062626
AB-,1742062681
AB-,1742062682
AB+,1742062942
AB+,1742062943
O+,1742063153
O+,1742063154
B+,1742063486
B+,1742063487
AB-,1742063603
AB-,1742063604
AB+,1742063719
AB+,1742063720
O+,1742063723
O+,1742063724
A+,1742063726
A+,1742063727
B-,1742063729
B-,1742063730
AB+,1742063739
B-,1742063743
B-,1742063744
AB-,1742063752
AB-,1742063928
AB+,1742063937
AB+,1742063938
B-,1742063940
B-,1742063941
O+,1742064140
O+,1742064299
O+,1742064300
O+,1742064301
O+,1742135092
O+,1742135093
O+,1742135094
